epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3781.62,0.7987,0.60344,0.943,0.64385,0.39029,0.42289,0.32646,0.99679,1.89127,1.03269,2.278e-05,2.278e-05,2.278e-05
41,3877.02,0.76506,0.53828,0.89929,0.6234,0.39496,0.41999,0.32017,1.00798,1.87489,1.03902,2.08e-05,2.08e-05,2.08e-05
42,3971.19,0.75485,0.51362,0.89888,0.69035,0.37732,0.42399,0.32526,1.01134,1.88284,1.04491,1.882e-05,1.882e-05,1.882e-05
43,4065,0.74924,0.5048,0.89516,0.69507,0.38192,0.42564,0.32578,0.99833,1.88824,1.03108,1.684e-05,1.684e-05,1.684e-05
44,4158.74,0.74062,0.49309,0.8898,0.67898,0.38641,0.42948,0.32812,1.00114,1.89608,1.03239,1.486e-05,1.486e-05,1.486e-05
45,4252.59,0.72976,0.48208,0.88576,0.65303,0.40365,0.43072,0.33115,0.99833,1.90331,1.03084,1.288e-05,1.288e-05,1.288e-05
46,4346.34,0.72792,0.4774,0.88313,0.67869,0.39422,0.43264,0.33444,0.98708,1.89606,1.02504,1.09e-05,1.09e-05,1.09e-05
47,4440.05,0.72343,0.47456,0.8856,0.73202,0.39075,0.43835,0.33753,0.99321,1.90361,1.03011,8.92e-06,8.92e-06,8.92e-06
48,4533.77,0.7254,0.47559,0.88477,0.68478,0.4027,0.4365,0.33589,0.99268,1.89606,1.02966,6.94e-06,6.94e-06,6.94e-06
49,4627.34,0.71744,0.46469,0.88072,0.69854,0.39753,0.4377,0.33599,0.9974,1.89267,1.03057,4.96e-06,4.96e-06,4.96e-06
50,4721.14,0.7131,0.46569,0.88314,0.71901,0.39091,0.4374,0.33559,0.989,1.89729,1.0271,2.98e-06,2.98e-06,2.98e-06
